Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
411,Daishen Nix,HOU,21,57,15,42,16.0,4.0,1.4,4.2,34.2,0.7,2.5,28.6,0.4,0.6,66.7,0.3,1.4,1.7,2.3,1.5,0.5,0.1,1.0,10.0,0.0,0.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Patrick Baldwin,GSW,20,31,15,16,7.3,3.9,1.4,3.5,39.4,1.0,2.7,38.1,0.1,0.2,66.7,0.0,1.3,1.3,0.4,0.4,0.2,0.1,0.5,6.6,0.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Dominick Barlow,SAS,20,28,5,23,14.6,3.9,1.6,3.1,53.5,0.0,0.1,0.0,0.6,0.9,72.0,1.6,2.0,3.6,0.9,0.5,0.4,0.7,2.0,12.2,2.0,0.0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Bruno Fernando,ATL,24,39,13,26,10.4,3.9,1.5,2.9,52.7,0.0,0.1,0.0,0.9,1.3,70.0,1.4,2.1,3.5,0.8,0.6,0.2,0.9,1.9,11.8,1.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Aaron Holiday,ATL,26,63,32,31,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,0.4,0.8,1.2,1.4,0.6,0.6,0.2,1.3,9.2,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Gorgui Dieng,SAS,33,31,3,28,11.6,3.9,1.5,3.8,38.5,0.7,2.4,28.0,0.3,0.4,76.9,0.9,2.6,3.5,1.7,1.0,0.1,0.5,1.8,11.3,2.0,0.0,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Jabari Walker,POR,20,56,21,35,11.1,3.9,1.5,3.5,41.9,0.3,1.0,28.6,0.6,0.8,75.6,0.9,1.5,2.3,0.6,0.5,0.2,0.2,1.2,8.3,0.0,0.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Udonis Haslem,MIA,43,7,4,3,10.3,3.9,1.4,4.1,34.5,0.4,1.3,33.3,0.6,0.7,80.0,0.6,1.0,1.6,0.0,0.1,0.1,0.3,1.6,6.9,0.0,0.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Dyson Daniels,NOP,20,59,33,26,17.7,3.8,1.5,3.5,41.8,0.5,1.5,31.4,0.4,0.7,65.0,0.6,2.6,3.2,2.3,1.0,0.7,0.2,1.7,12.9,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Xavier Cooks,WAS,27,10,2,8,12.6,3.8,1.7,2.8,60.7,0.0,0.1,0.0,0.4,1.0,40.0,1.6,2.2,3.8,0.6,0.8,0.6,0.4,1.3,11.5,1.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
421,JT Thor,CHA,20,69,22,47,14.0,3.8,1.4,3.4,39.9,0.6,1.8,31.7,0.5,0.7,70.2,0.5,1.7,2.2,0.5,0.6,0.3,0.3,1.0,8.5,0.0,0.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Caleb Houstan,ORL,20,51,20,31,15.9,3.8,1.3,3.6,36.3,0.9,2.7,33.8,0.3,0.4,83.3,0.7,1.3,1.9,0.6,0.4,0.2,0.1,1.2,7.8,0.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Furkan Korkmaz,PHI,25,37,24,13,9.6,3.8,1.3,3.0,43.2,0.5,1.2,39.1,0.7,1.0,72.2,0.2,1.0,1.1,0.6,0.6,0.3,0.1,0.5,6.4,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Luke Kornet,BOS,27,69,45,24,11.7,3.8,1.6,2.5,66.5,0.0,0.2,23.1,0.5,0.6,82.1,1.2,1.6,2.9,0.8,0.4,0.2,0.7,1.2,10.5,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Markieff Morris,DAL,33,35,17,18,10.1,3.8,1.3,3.3,40.9,0.8,2.0,39.4,0.3,0.3,100.0,0.4,1.7,2.0,0.9,0.5,0.3,0.1,1.4,8.2,1.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Darius Days,HOU,23,4,0,4,6.2,3.8,1.3,3.0,41.7,0.8,2.5,30.0,0.5,0.5,100.0,0.3,1.3,1.5,0.3,0.0,0.0,0.3,0.5,6.7,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Jordan McLaughlin,MIN,27,43,22,21,15.8,3.7,1.4,3.4,42.1,0.6,1.8,30.8,0.3,0.4,83.3,0.3,1.1,1.4,3.4,0.8,0.7,0.1,0.7,12.4,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Orlando Robinson,MIA,22,31,18,13,13.7,3.7,1.5,2.9,52.8,0.0,0.2,0.0,0.7,1.0,71.0,1.5,2.5,4.1,0.8,0.5,0.4,0.4,1.7,11.6,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
429,A.J. Lawson,DAL,22,15,5,10,7.2,3.7,1.5,2.9,50.0,0.7,1.7,40.0,0.1,0.5,25.0,0.4,1.0,1.4,0.1,0.2,0.1,0.0,0.7,5.8,0.0,0.0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
430,David Duke Jr.,BKN,23,23,10,13,9.9,3.7,1.6,3.4,46.2,0.0,0.5,8.3,0.5,0.7,70.6,0.5,0.8,1.3,0.9,0.8,0.4,0.0,1.3,7.2,0.0,0.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Nathan Knight,MIN,25,38,19,19,7.7,3.7,1.2,2.1,56.8,0.2,0.6,36.4,1.0,1.5,68.4,0.6,0.9,1.5,0.3,0.6,0.3,0.2,1.1,6.7,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Matt Ryan,MIN,26,34,15,19,9.1,3.6,1.2,3.2,37.0,0.9,2.5,38.1,0.3,0.4,83.3,0.1,0.6,0.8,0.5,0.2,0.1,0.0,0.8,5.5,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Bryn Forbes,MIN,29,25,9,16,10.7,3.6,1.2,3.3,36.1,0.6,1.8,30.4,0.6,0.6,100.0,0.2,0.4,0.6,0.7,0.5,0.3,0.1,0.9,5.9,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
434,P.J. Tucker,PHI,38,75,48,27,25.6,3.5,1.3,3.0,42.7,0.7,1.9,39.3,0.3,0.3,82.6,1.3,2.7,3.9,0.8,0.6,0.5,0.2,2.4,11.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Udoka Azubuike,UTA,23,36,17,19,10.0,3.5,1.6,2.0,81.9,0.0,0.0,0.0,0.2,0.6,35.0,0.9,2.4,3.3,0.3,0.5,0.2,0.4,0.9,9.1,0.0,0.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Miles McBride,NYK,22,64,36,28,11.9,3.5,1.2,3.4,35.8,0.6,2.1,29.9,0.4,0.7,66.7,0.2,0.6,0.8,1.1,0.4,0.6,0.1,0.9,7.8,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Damian Jones,UTA,28,41,12,29,11.6,3.5,1.3,2.1,64.0,0.2,0.4,58.8,0.5,0.7,75.9,1.0,2.0,3.0,0.4,0.6,0.2,0.5,1.3,9.1,1.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Wesley Matthews,MIL,36,52,37,15,15.8,3.4,1.1,3.1,36.3,0.8,2.4,31.5,0.5,0.5,85.7,0.7,1.5,2.2,0.7,0.3,0.4,0.3,1.4,8.6,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Amir Coffey,LAC,26,50,26,24,12.5,3.4,1.1,2.9,38.6,0.2,0.8,27.5,1.0,1.3,77.8,0.3,0.7,1.1,1.1,0.4,0.1,0.1,1.0,6.6,0.0,0.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Micah Potter,UTA,25,7,4,3,7.5,3.4,1.4,2.1,66.7,0.6,1.0,57.1,0.0,0.0,0.0,0.4,1.9,2.3,0.6,0.3,0.1,0.0,0.7,7.2,1.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Taj Gibson,WAS,38,49,21,28,9.8,3.4,1.3,2.6,52.0,0.2,0.5,33.3,0.6,0.9,71.4,0.7,1.2,1.9,0.7,0.5,0.3,0.2,1.7,7.9,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Jericho Sims,NYK,24,52,31,21,15.6,3.4,1.6,2.1,77.6,0.0,0.0,0.0,0.2,0.3,75.0,1.9,2.8,4.7,0.5,0.5,0.3,0.5,1.8,11.7,2.0,0.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Kai Jones,CHA,22,46,13,33,11.9,3.4,1.5,2.6,55.8,0.1,0.4,21.1,0.4,0.6,73.1,0.8,1.9,2.7,0.3,0.7,0.4,0.7,1.4,9.5,1.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Anthony Gill,WAS,30,59,21,38,10.6,3.3,1.2,2.2,53.8,0.1,0.5,13.8,0.8,1.1,73.1,0.6,1.1,1.7,0.6,0.3,0.1,0.2,1.2,6.9,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Boban Marjanovic,HOU,34,31,7,24,5.5,3.3,1.3,1.9,68.3,0.0,0.0,0.0,0.6,0.9,74.1,0.6,1.3,1.9,0.3,0.5,0.2,0.1,0.3,6.3,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Raul Neto,CLE,31,48,31,17,10.5,3.3,1.2,2.3,51.8,0.3,0.9,28.6,0.6,0.7,91.2,0.2,0.8,1.0,1.6,0.5,0.4,0.1,1.0,7.7,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Peyton Watson,DEN,20,23,13,10,8.1,3.3,1.3,2.6,49.2,0.3,0.6,42.9,0.5,0.9,55.0,0.3,1.3,1.6,0.5,0.3,0.1,0.5,0.6,7.3,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Jared Rhoden,DET,23,14,2,12,14.1,3.2,1.2,3.1,38.6,0.4,1.4,25.0,0.4,0.4,100.0,0.8,1.9,2.6,0.3,0.2,0.3,0.1,1.6,7.7,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Christian Koloko,TOR,23,58,29,29,13.8,3.1,1.2,2.6,48.0,0.0,0.2,8.3,0.6,1.0,62.7,1.4,1.5,2.9,0.5,0.3,0.4,1.0,2.2,11.2,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Max Christie,LAL,20,41,19,22,12.5,3.1,1.1,2.6,41.5,0.6,1.5,41.9,0.3,0.4,87.5,0.2,1.7,1.8,0.5,0.3,0.2,0.2,0.8,6.9,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
